Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Year,Month,Day,DayOfWeek,Quarter,IsWeekend,PRICE_DIFF,PRICE_RATIO,DISCOUNTED_PRICE,INVENTORY_COVERAGE,STOCK_GAP,PROMO_DISCOUNT,HIGH_DISCOUNT_FLAG,COMPETITOR_CHEAPER,MONTH_SIN,MONTH_COS,DOW_SIN,DOW_COS
0,0,3,1,231,127,55,33.5,20,1,0,29.69,0,2022,1,1,5,1,1,3.8099999999999987,1.0915607689801237,26.8,4.125,176,0,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,1,4,2,204,150,66,63.01,20,3,0,66.16,0,2022,1,1,5,1,1,-3.1499999999999986,0.9382072662298988,50.408,3.044776119402985,138,0,1,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,2,4,3,102,65,51,27.99,10,3,1,31.32,2,2022,1,1,5,1,1,-3.330000000000002,0.8660272277227722,25.191,1.9615384615384615,51,10,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,3,4,1,469,61,164,32.72,10,0,1,34.74,0,2022,1,1,5,1,1,-2.020000000000003,0.9155008393956351,29.448,2.8424242424242423,305,10,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,4,1,0,166,14,135,73.64,0,3,0,68.95,2,2022,1,1,5,1,1,4.689999999999998,1.0527519656897784,73.64,1.2205882352941178,31,0,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,5,3,2,138,128,102,76.83,10,3,1,79.35,3,2022,1,1,5,1,1,-2.519999999999996,0.9561916614810205,69.147,1.3398058252427185,36,10,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,6,2,0,359,97,167,34.16,10,1,1,36.55,3,2022,1,1,5,1,1,-2.3900000000000006,0.9097203728362183,30.743999999999996,2.136904761904762,192,10,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,7,0,1,380,312,54,97.99,5,0,0,100.09,1,2022,1,1,5,1,1,-2.1000000000000085,0.969334256603027,93.09049999999999,6.909090909090909,326,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,8,1,3,183,175,135,20.74,10,0,0,17.66,0,2022,1,1,5,1,1,3.0799999999999983,1.1114683815648445,18.666,1.3455882352941178,48,0,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,9,4,2,108,28,196,59.99,0,1,1,61.21,3,2022,1,1,5,1,1,-1.2199999999999989,0.9643144189037133,59.99,0.5482233502538071,-88,0,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,10,2,2,258,150,153,58.53,10,3,1,61.42,1,2022,1,1,5,1,1,-2.8900000000000006,0.9376802306952899,52.677,1.6753246753246753,105,10,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
0,11,0,3,66,24,70,58.25,20,2,0,62.21,1,2022,1,1,5,1,1,-3.960000000000001,0.921531403258978,46.6,0.9295774647887324,-4,0,1,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
